answer_text,answer_start,question,context,subject,Task
"بين عامي 1908 و 1914،",0,متى زعزع استقرار منطقة البلقان؟,"بين عامي 1908 و 1914، كانت منطقة البلقان قد زعزع استقرارها بسبب مزيج من الإمبراطورية العثمانية الضعيفة وحروب البلقان 1912-1913 والأهداف الروسية والنمساوية المجرية المتنافسة. وفي يوم 28 يونيو 1914، قام القومي الصرب بوسني اليوغسلافيوي غافريلو برينسيب باغتيال ولي عهد النمسا الأرشيدوق فرانز فرديناند مع زوجته في سراييفو، ما أدى إلى نشوب أزمة يوليو. وفي 23 يوليو، أصدرت النمسا-المجر إنذارا نهائيا إلى صربيا. وسرعان ما استقطبت التحالفات المتشابكة جميع القوى الأوروبية الرئيسية مع الإمبراطوريات الاستعمارية الخاصة بها، وانتشر الصراع بسرعة في جميع أنحاء العالم.",الحرب العالمية الأولى,Factoid
في الأول من سبتمبر من عام 1939,41,متى بدأت الحرب العالمية الثانية؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي.",الحرب العالمية الثانية,Factoid
"الثاني من سبتمبر عام 1945،",92,متى انتهت الحرب العالمية الثانية؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي.",الحرب العالمية الثانية,Factoid
"أكثر من 30 بلدًا،",318,كم بلد شارك في الحرب العالمية الثانية؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي.",الحرب العالمية الثانية,Factoid
ما بين 50 و85 مليون قتيل,628,ما هو عدد القتلى نتيجة الحرب العالمية الثانية؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي. تميزت الحرب العالمية الثانية بعدد كبير من القتلى المدنيين، القصف الاستراتيجي الذي أودى بحياة حوالي مليون شخص، ومنه القنبلتان الذريتان اللتان ألقيتا على هيروشيما وناغازاكي، أدت الحرب إلى وقوع ما بين 50 و85 مليون قتيل حسب التقديرات؛ لذلك تعد الحرب العالمية الثانية أكثر الحروب دموية في تاريخ البشرية.",الحرب العالمية الثانية,Factoid
"هيروشيما وناغازاكي،",589,ما هما المدينتان اللتان ألقيت عليهما القنبلتان الذريتان؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي. تميزت الحرب العالمية الثانية بعدد كبير من القتلى المدنيين، القصف الاستراتيجي الذي أودى بحياة حوالي مليون شخص، ومنه القنبلتان الذريتان اللتان ألقيتا على هيروشيما وناغازاكي، أدت الحرب إلى وقوع ما بين 50 و85 مليون قتيل حسب التقديرات؛ لذلك تعد الحرب العالمية الثانية أكثر الحروب دموية في تاريخ البشرية.",الحرب العالمية الثانية,Factoid
"حوالي مليون شخص،",530,ما هو عدد القتلى نتيجة القصف الإستراتيجي؟,"الحرب العالمية الثانية هي حرب دولية بدأت في الأول من سبتمبر من عام 1939 في أوروبا وانتهت في الثاني من سبتمبر عام 1945، شاركت فيه الغالبية العظمى من دول العالم منها الدول العظمى في حلفين عسكريين متنازعين هما: قوات الحلفاء، ودول المحور، كما أنها الحرب الأوسع في التاريخ، وشارك فيها بصورة مباشرة أكثر من 100 مليون شخص من أكثر من 30 بلدًا، وقد وضعت الدول الرئيسية كافة قدراتها العسكرية والاقتصادية والصناعية والعلمية في خدمة المجهود الحربي. تميزت الحرب العالمية الثانية بعدد كبير من القتلى المدنيين، القصف الاستراتيجي الذي أودى بحياة حوالي مليون شخص، ومنه القنبلتان الذريتان اللتان ألقيتا على هيروشيما وناغازاكي، أدت الحرب إلى وقوع ما بين 50 و85 مليون قتيل حسب التقديرات؛ لذلك تعد الحرب العالمية الثانية أكثر الحروب دموية في تاريخ البشرية.",الحرب العالمية الثانية,Factoid
"7 يوليو 1937،",64,متى اعلنت الإمبراطورية اليابانية الحرب على جمهورية الصين؟,"كانت الإمبراطورية اليابانية قد أعلنت الحرب على جمهورية الصين في 7 يوليو 1937، حيث هدفت إلى السيطرة على آسيا والمحيط الهادي، إلا أن البداية الفعلية للحرب تعتبر في الأول من سبتمبر عام 1939، وذلك عندما قامت ألمانيا باجتياح بولندا، وتوالت بعدها إعلانات الحرب على ألمانيا من قبل فرنسا والمملكة المتحدة. ومن أواخر عام 1939 إلى أوائل عام 1941، سيطرت ألمانيا النازية على مساحة واسعة من قارة أوروبا بعد سلسلة من الحملات العسكرية، وشكلت تحالف دول المحور مع إيطاليا واليابان، كما اتفقت مع الاتحاد السوفييتي على تقاسم الأراضي المجاورة لهما: بولندا، وفنلندا، ورومانيا، ودول البلطيق. بقيت المعركة الأساسية في الحرب هي بين دول المحور من جهة، والمملكة المتحدة إلى جانب دول الكومنولث من جهة أخرى، إضافة إلى حملة في شمال إفريقيا وحملة أخرى في شرق أفريقيا، إضافة إلى معركة برلين الجوية وقصف لندن، وحملة البلقان، ومعركة المحيط الأطلسي. وفي يونيو 1941، قام تحالف دول المحور بغزو الاتحاد السوفييتي فيما يعرف بعملية بارباروسا، ما أدى إلى إشعال الجبهة الشرقية، وهي أكبر مسرح للحرب في التاريخ، ما جعل كبرى دول المحور في حرب استنزاف، وقامت اليابان في ديسمبر 1941 بالهجوم على ميناء بيرل هاربر، كما هاجمت منطقة ملايا البريطانية في المحيط الهادي، فسيطرت سريعًا على جزء كبير من غرب المحيط الهادي.",الحرب العالمية الثانية,Factoid
"ومن أواخر عام 1939 إلى أوائل عام 1941،",298,متى سيطرت المانيا النازية على مساحة واسعة من قارة أوروبا؟,"كانت الإمبراطورية اليابانية قد أعلنت الحرب على جمهورية الصين في 7 يوليو 1937، حيث هدفت إلى السيطرة على آسيا والمحيط الهادي، إلا أن البداية الفعلية للحرب تعتبر في الأول من سبتمبر عام 1939، وذلك عندما قامت ألمانيا باجتياح بولندا، وتوالت بعدها إعلانات الحرب على ألمانيا من قبل فرنسا والمملكة المتحدة. ومن أواخر عام 1939 إلى أوائل عام 1941، سيطرت ألمانيا النازية على مساحة واسعة من قارة أوروبا بعد سلسلة من الحملات العسكرية، وشكلت تحالف دول المحور مع إيطاليا واليابان، كما اتفقت مع الاتحاد السوفييتي على تقاسم الأراضي المجاورة لهما: بولندا، وفنلندا، ورومانيا، ودول البلطيق. بقيت المعركة الأساسية في الحرب هي بين دول المحور من جهة، والمملكة المتحدة إلى جانب دول الكومنولث من جهة أخرى، إضافة إلى حملة في شمال إفريقيا وحملة أخرى في شرق أفريقيا، إضافة إلى معركة برلين الجوية وقصف لندن، وحملة البلقان، ومعركة المحيط الأطلسي. وفي يونيو 1941، قام تحالف دول المحور بغزو الاتحاد السوفييتي فيما يعرف بعملية بارباروسا، ما أدى إلى إشعال الجبهة الشرقية، وهي أكبر مسرح للحرب في التاريخ، ما جعل كبرى دول المحور في حرب استنزاف، وقامت اليابان في ديسمبر 1941 بالهجوم على ميناء بيرل هاربر، كما هاجمت منطقة ملايا البريطانية في المحيط الهادي، فسيطرت سريعًا على جزء كبير من غرب المحيط الهادي.",الحرب العالمية الثانية,Factoid
"بولندا، وفنلندا، ورومانيا، ودول البلطيق.",529,ما هي الأراضي التي اتفقت المانيا و الإتحاد السوفييتي على تقاسمها؟,"كانت الإمبراطورية اليابانية قد أعلنت الحرب على جمهورية الصين في 7 يوليو 1937، حيث هدفت إلى السيطرة على آسيا والمحيط الهادي، إلا أن البداية الفعلية للحرب تعتبر في الأول من سبتمبر عام 1939، وذلك عندما قامت ألمانيا باجتياح بولندا، وتوالت بعدها إعلانات الحرب على ألمانيا من قبل فرنسا والمملكة المتحدة. ومن أواخر عام 1939 إلى أوائل عام 1941، سيطرت ألمانيا النازية على مساحة واسعة من قارة أوروبا بعد سلسلة من الحملات العسكرية، وشكلت تحالف دول المحور مع إيطاليا واليابان، كما اتفقت مع الاتحاد السوفييتي على تقاسم الأراضي المجاورة لهما: بولندا، وفنلندا، ورومانيا، ودول البلطيق. بقيت المعركة الأساسية في الحرب هي بين دول المحور من جهة، والمملكة المتحدة إلى جانب دول الكومنولث من جهة أخرى، إضافة إلى حملة في شمال إفريقيا وحملة أخرى في شرق أفريقيا، إضافة إلى معركة برلين الجوية وقصف لندن، وحملة البلقان، ومعركة المحيط الأطلسي. وفي يونيو 1941، قام تحالف دول المحور بغزو الاتحاد السوفييتي فيما يعرف بعملية بارباروسا، ما أدى إلى إشعال الجبهة الشرقية، وهي أكبر مسرح للحرب في التاريخ، ما جعل كبرى دول المحور في حرب استنزاف، وقامت اليابان في ديسمبر 1941 بالهجوم على ميناء بيرل هاربر، كما هاجمت منطقة ملايا البريطانية في المحيط الهادي، فسيطرت سريعًا على جزء كبير من غرب المحيط الهادي.",الحرب العالمية الثانية,Factoid
روسيا,146,أين أقيم كأس العالم 2018؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا.",كأس العالم 2018,Factoid
14 يونيو ولغاية 15 يوليو من عام 2018.,169,متى أقيم كأس العالم 2018؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا.",كأس العالم 2018,Factoid
2 ديسمبر 2010.,303,متى فازت روسيا بشرف إستضافة البطولة؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا.",كأس العالم 2018,Factoid
ألمانيا.,669,أين أقيمت بطولة كأس العالم 2006؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا. وهي النسخة الأولى من بطولات كأس العالم التي أقيمت في أوروبا الشرقية، وكذلك هي المرة الأولى التي تستضيف بها القارة الأوروبية منافسات البطولة بعد بطولة كأس العالم 2006 والتي أقيمت في ألمانيا.",كأس العالم 2018,Factoid
بطولة كأس العالم 2006,632,ما هي آخر إستضافة لكأس العالم التي تمت في أوروبا قبل بطولة كأس العالم 2018؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا. وهي النسخة الأولى من بطولات كأس العالم التي أقيمت في أوروبا الشرقية، وكذلك هي المرة الأولى التي تستضيف بها القارة الأوروبية منافسات البطولة بعد بطولة كأس العالم 2006 والتي أقيمت في ألمانيا.",كأس العالم 2018,Factoid
3 ترشيحات,347,ما هو عدد الترشيحات التي تغلبت عليهم روسيا لإستضافة كأس العالم؟,"كأس العالم 2018 هي البطولة الحادية والعشرون من بطولات كأس العالم لفرق الرجال الوطنية، والمقامة تحت رعاية الاتحاد الدولي لكرة القدم، وقد استضافتها روسيا في الفترة ما بين 14 يونيو ولغاية 15 يوليو من عام 2018. حيث استطاعت روسيا الفوز بشرف استضافة البطولة بعد قرار الاتحاد الدولي لكرة القدم المُعْلن عنه في 2 ديسمبر 2010. حيث استطاعت روسيا التغلب على 3 ترشيحات بالمجمل، فتغلبت على ترشيح مشترك بين إسبانيا والبرتغال، وتغلبت كذلك على ترشيح مشترك أيضاً بين هولندا وبلجيكا، وترشيح وحيد لإنجلترا. وهي النسخة الأولى من بطولات كأس العالم التي أقيمت في أوروبا الشرقية، وكذلك هي المرة الأولى التي تستضيف بها القارة الأوروبية منافسات البطولة بعد بطولة كأس العالم 2006 والتي أقيمت في ألمانيا.",كأس العالم 2018,Factoid
"الجانب الغربي من روسيا،",96,أين تقع المدن المستضيفة لمنافسات البطولة؟,"ومن الملاحظ أن المدن المستضيفة لمنافسات البطولة هي جُلَّها مدن روسيا الأوروبية، وهي التي تقع في الجانب الغربي من روسيا، وتحديداً في غرب جبال الأورال؛ باستثناء مدينة يكاترينبورغ والتي تبعد حوالي 1420 كم عن العاصمة موسكو، من أجل تسهيل عملية انتقال الجماهير بين المدن قدر الإمكان. وتجرى مباريات كأس العالم 2018 في 11 مدينة روسية. واحتضنت العاصمة موسكو مباراة الافتتاح وستستضيف المباراة النهائية كذلك؛ حيث ستُلعب المبارتين على ملعب لوجنيكي. ومن الجدير بالذكر، أن هذه النسخة من كأس العالم قد شهذت حدثاً تاريخياً جديداً، حيث تم استخدام تقنية الفار لأول مرة في تاريخ البطولة.",كأس العالم 2018,Factoid
11 مدينة روسية.,311,كم هو عدد المدن التي تجري بها مباريات كأس العالم 2018؟,"ومن الملاحظ أن المدن المستضيفة لمنافسات البطولة هي جُلَّها مدن روسيا الأوروبية، وهي التي تقع في الجانب الغربي من روسيا، وتحديداً في غرب جبال الأورال؛ باستثناء مدينة يكاترينبورغ والتي تبعد حوالي 1420 كم عن العاصمة موسكو، من أجل تسهيل عملية انتقال الجماهير بين المدن قدر الإمكان. وتجرى مباريات كأس العالم 2018 في 11 مدينة روسية. واحتضنت العاصمة موسكو مباراة الافتتاح وستستضيف المباراة النهائية كذلك؛ حيث ستُلعب المبارتين على ملعب لوجنيكي. ومن الجدير بالذكر، أن هذه النسخة من كأس العالم قد شهذت حدثاً تاريخياً جديداً، حيث تم استخدام تقنية الفار لأول مرة في تاريخ البطولة.",كأس العالم 2018,Factoid
العاصمة موسكو,205,ما هي المدينة التي إحتضنت مباراة الإفتتاح؟,"ومن الملاحظ أن المدن المستضيفة لمنافسات البطولة هي جُلَّها مدن روسيا الأوروبية، وهي التي تقع في الجانب الغربي من روسيا، وتحديداً في غرب جبال الأورال؛ باستثناء مدينة يكاترينبورغ والتي تبعد حوالي 1420 كم عن العاصمة موسكو، من أجل تسهيل عملية انتقال الجماهير بين المدن قدر الإمكان. وتجرى مباريات كأس العالم 2018 في 11 مدينة روسية. واحتضنت العاصمة موسكو مباراة الافتتاح وستستضيف المباراة النهائية كذلك؛ حيث ستُلعب المبارتين على ملعب لوجنيكي. ومن الجدير بالذكر، أن هذه النسخة من كأس العالم قد شهذت حدثاً تاريخياً جديداً، حيث تم استخدام تقنية الفار لأول مرة في تاريخ البطولة.",كأس العالم 2018,Factoid
262,305,كم استمرّت الخلافة الفاطمية؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة.",صلاح الدين الأيوبي,Factoid
1193,123,في أي عام توفي صلاح الدين الأيوبي؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة.",صلاح الدين الأيوبي,Factoid
الدولة الأيوبية,179,ما إسم الدولة التي أسسها صلاح الدين الأيوبي؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة.",صلاح الدين الأيوبي,Factoid
معركة حطين.,608,في أي معركة هزم صلاح الدين الأيوبي جيش بيت المقدس؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة. قاد صلاح الدين عدّة حملات ومعارك ضد الفرنجة وغيرهم من الصليبيين الأوروبيين في سبيل استعادة الأراضي المقدسة التي كان الصليبيون قد استولوا عليها في أواخر القرن الحادي عشر، وقد تمكن في نهاية المطاف من استعادة معظم أراضي فلسطين ولبنان بما فيها مدينة القدس، بعد أن هزم جيش بيت المقدس هزيمة منكرة في معركة حطين.",صلاح الدين الأيوبي,Factoid
الفرنجة وغيرهم من الصليبيين الأوروبيين,350,ضد من قاد صلاح الدين حملات و معارك؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة. قاد صلاح الدين عدّة حملات ومعارك ضد الفرنجة وغيرهم من الصليبيين الأوروبيين في سبيل استعادة الأراضي المقدسة التي كان الصليبيون قد استولوا عليها في أواخر القرن الحادي عشر، وقد تمكن في نهاية المطاف من استعادة معظم أراضي فلسطين ولبنان بما فيها مدينة القدس، بعد أن هزم جيش بيت المقدس هزيمة منكرة في معركة حطين.",صلاح الدين الأيوبي,Factoid
"معظم أراضي فلسطين ولبنان بما فيها مدينة القدس،",520,ما هي الأراضي التي استعادها صلاح الدّين الأيوبي من الصليبين؟,"الملك الناصر أبو المظفر صلاح الدين والدنيا يوسف بن أيوب بن شاذي بن مروان بن يعقوب الدُويني التكريتي (532 - 589 هـ / 1138 - 1193 م)، المشهور بلقب صلاح الدين الأيوبي قائد عسكري أسس الدولة الأيوبية التي وحدت مصر والشام والحجاز وتهامة واليمن في ظل الراية العباسية، بعد أن قضى على الخلافة الفاطمية التي استمرت 262 سنة. قاد صلاح الدين عدّة حملات ومعارك ضد الفرنجة وغيرهم من الصليبيين الأوروبيين في سبيل استعادة الأراضي المقدسة التي كان الصليبيون قد استولوا عليها في أواخر القرن الحادي عشر، وقد تمكن في نهاية المطاف من استعادة معظم أراضي فلسطين ولبنان بما فيها مدينة القدس، بعد أن هزم جيش بيت المقدس هزيمة منكرة في معركة حطين.",صلاح الدين الأيوبي,Factoid
"بمذهب أهل السنة والجماعة،",20,بأي مذهب كان يقول صلاح الدّين الأيوبي؟,"كان صلاح الدين يقول بمذهب أهل السنة والجماعة، وروي أن عبد القادر الجيلاني دعا له عندما رآه بالبركة فيه، خلال ""زيارة خفية"" لنجم الدين أيوب وأسرته ببغداد سنة 533 هـ/1138م، وهذا يفسر أتباعه الطريقة القادرية فيما بعد وبعض العلماء كالمقريزي، وبعض المؤرخين المتأخرين قالوا: إنه كان أشعريًا، وإنه كان يصحب علماء الصوفية الأشاعرة لأخذ الرأي والمشورة، وأظهر العقيدة الأشعرية. يشتهر صلاح الدين بتسامحه ومعاملته الإنسانية لأعدائه، لذا فهو من أكثر الأشخاص تقديرًا واحترامًا في العالمين الشرقي الإسلامي والأوروبي المسيحي، حيث كتب المؤرخون الصليبيون عن بسالته في عدد من المواقف، أبرزها عند حصاره لقلعة الكرك في مؤاب، وكنتيجة لهذا حظي صلاح الدين باحترام خصومه لا سيما ملك إنگلترا ريتشارد الأول ""قلب الأسد""، وبدلاً من أن يتحول لشخص مكروه في أوروبا الغربية، استحال رمزًا من رموز الفروسية والشجاعة، وورد ذكره في عدد من القصص والأشعار الإنگليزية والفرنسية العائدة لتلك الحقبة.",صلاح الدين الأيوبي,Factoid
"بتسامحه ومعاملته الإنسانية لأعدائه،",384,بماذا يشتهر صلاح الدّين الأيوبي؟,"كان صلاح الدين يقول بمذهب أهل السنة والجماعة، وروي أن عبد القادر الجيلاني دعا له عندما رآه بالبركة فيه، خلال ""زيارة خفية"" لنجم الدين أيوب وأسرته ببغداد سنة 533 هـ/1138م، وهذا يفسر أتباعه الطريقة القادرية فيما بعد وبعض العلماء كالمقريزي، وبعض المؤرخين المتأخرين قالوا: إنه كان أشعريًا، وإنه كان يصحب علماء الصوفية الأشاعرة لأخذ الرأي والمشورة، وأظهر العقيدة الأشعرية. يشتهر صلاح الدين بتسامحه ومعاملته الإنسانية لأعدائه، لذا فهو من أكثر الأشخاص تقديرًا واحترامًا في العالمين الشرقي الإسلامي والأوروبي المسيحي، حيث كتب المؤرخون الصليبيون عن بسالته في عدد من المواقف، أبرزها عند حصاره لقلعة الكرك في مؤاب، وكنتيجة لهذا حظي صلاح الدين باحترام خصومه لا سيما ملك إنگلترا ريتشارد الأول ""قلب الأسد""، وبدلاً من أن يتحول لشخص مكروه في أوروبا الغربية، استحال رمزًا من رموز الفروسية والشجاعة، وورد ذكره في عدد من القصص والأشعار الإنگليزية والفرنسية العائدة لتلك الحقبة.",صلاح الدين الأيوبي,Factoid
"عن بسالته في عدد من المواقف، أبرزها عند حصاره لقلعة الكرك في مؤاب،",536,ماذا كتب المؤرخون الصليبيون في حق صلاح الدين الأيوبي؟,"كان صلاح الدين يقول بمذهب أهل السنة والجماعة، وروي أن عبد القادر الجيلاني دعا له عندما رآه بالبركة فيه، خلال ""زيارة خفية"" لنجم الدين أيوب وأسرته ببغداد سنة 533 هـ/1138م، وهذا يفسر أتباعه الطريقة القادرية فيما بعد وبعض العلماء كالمقريزي، وبعض المؤرخين المتأخرين قالوا: إنه كان أشعريًا، وإنه كان يصحب علماء الصوفية الأشاعرة لأخذ الرأي والمشورة، وأظهر العقيدة الأشعرية. يشتهر صلاح الدين بتسامحه ومعاملته الإنسانية لأعدائه، لذا فهو من أكثر الأشخاص تقديرًا واحترامًا في العالمين الشرقي الإسلامي والأوروبي المسيحي، حيث كتب المؤرخون الصليبيون عن بسالته في عدد من المواقف، أبرزها عند حصاره لقلعة الكرك في مؤاب، وكنتيجة لهذا حظي صلاح الدين باحترام خصومه لا سيما ملك إنگلترا ريتشارد الأول ""قلب الأسد""، وبدلاً من أن يتحول لشخص مكروه في أوروبا الغربية، استحال رمزًا من رموز الفروسية والشجاعة، وورد ذكره في عدد من القصص والأشعار الإنگليزية والفرنسية العائدة لتلك الحقبة.",صلاح الدين الأيوبي,Non-factoid
"بغداد،",232,ماهي عاصمة العراق؟,"العِرَاقُ أو (رسمياً: جُمْهُوريَّة العِرَاق)، و(بالكردية: كۆماری عێراق)، هي دولة عربية، وتعد جمهورية برلمانية اتحادية وفقاً لدستور العراق، وتتكون من ثمان عشرة محافظة رسمياً، وتسع عشرة محافظة بحكم الأمر الواقع (محافظة حلبجة)، عاصمته بغداد، والعراق أحد دول غرب آسيا المطلة على الخليج العربي.",العراق,Factoid
الخليج العربي.,275,على ماذا تُطِل العراق؟,"العِرَاقُ أو (رسمياً: جُمْهُوريَّة العِرَاق)، و(بالكردية: كۆماری عێراق)، هي دولة عربية، وتعد جمهورية برلمانية اتحادية وفقاً لدستور العراق، وتتكون من ثمان عشرة محافظة رسمياً، وتسع عشرة محافظة بحكم الأمر الواقع (محافظة حلبجة)، عاصمته بغداد، والعراق أحد دول غرب آسيا المطلة على الخليج العربي.",العراق,Factoid
