answer_text,answer_start,question,context,subject,Task
كان وزيرا للثقافة ونائب رئيس الوزراء المصري سابقا,73,من هو ثروت عكاشة؟,  ثروت عكاشة من (مواليد القاهرة بمصر عام 1921 - توفي 27 فبراير 2012).[1] كان وزيرا للثقافة ونائب رئيس الوزراء المصري سابقا.,ثروت عكاشة,Non-factoid
دريم ووركس أنيمايشن,40,من الشركة التي أنتجت فيلم الكرتون مدغشقر 1؟,"  مدغشقر  هو فيلم متحرك حاسوبياً أنتجته دريم ووركس أنيمايشن.[1][2][3] صدر الفيلم في 27 مايو، 2005، أما إصدار دي في دي فتم نشره في 15 نوفمبر، 2005. أبطال الفيلم هم أربعة حيوانات: الأسد أليكس (بين ستيلير)، الحمار الوحشي مارتي (كريس روك)، الزرافة ميلمين (ديفيد شويمير)، و<b data-parsoid='{""dsr"":[2564,2586,3,3]}'>فرس النهر غلوريا (جادا بينكيت سميث).",مدغشقر (فيلم),Factoid
"مصطلح سياسي وإعلامي وأكاديمي استخدم لتوصيف حركات تغيير سياسية تؤمن بالإسلام باعتباره ""نظاما سياسيا للحكم""، ويستخدم هذا المصطلح من قبل المجموعات السياسية المناوئة للإسلاميين",13,ما هي الإسلاموية؟,"  الإسلاموية مصطلح سياسي وإعلامي وأكاديمي استخدم لتوصيف حركات تغيير سياسية تؤمن بالإسلام باعتباره ""نظاما سياسيا للحكم""، ويستخدم هذا المصطلح من قبل المجموعات السياسية المناوئة للإسلاميين. ويمكن تعريفه كمجموعة من الأفكار والأهداف السياسية النابعة من الشريعة الإسلامية التي يستخدمها مجموعة ""المسلمين الأصوليين"" الذين يؤمنون بأن الإسلام ""ليس عبارة عن ديانة فقط وإنما عبارة عن نظام سياسي واجتماعي وقانوني واقتصادي يصلح لبناء مؤسسات دولة"". وتعتبر دول مثل إيران والسعودية ونظام طالبان السابق في أفغانستان والسودان، والصومال أمثلة عن هذا المشروع، مع ملاحظة أنهم يرفضون مصطلح إسلام سياسي ويستخدمون عوضا عنه الحكم بالشريعة أو الحاكمية الإلهية.",إسلاموية,Non-factoid
1953,30,في أي عام تم إنتاج فيلم غلين أو غليندا؟,"أتت انطلاقة وود الكبرى في عام 1953 عندما عينه المنتج جورج ويس لإنتاج فيلم استغلالي بعنوان ""غيرت جنسي""، مستند على حياة المتخنثة كرستين يورغنسن. بعد أن رفضت يورغنسن التعاون مع الفيلم، كتب وود نصا سينمائيا جديدا يتعلق بسيرته بعنوان غلين أو غليندا, وهو دراسة مخلصة ومتعاطفة مع لابسي ثياب النساء. أخرج وود الفيلم، واستعمل اسما مستعارا هو دانيال ديفيس، لعب الدور الرئيسي لرجل يحب لبس أزياء النساء.",إد وود,Factoid
جويانا الفرنسية على ساحل المحيط الأطلسي بأمريكا الجنوبية,58,أين أنشئ مركز جويانا للفضاء؟,"مركز جويانا للفضاء  هو مركز فضائي فرنسي بالقرب من كورو في جويانا الفرنسية على ساحل المحيط الأطلسي بأمريكا الجنوبية، أنشئ المركز عام 1968 قرب خط الأستواء بحيث يناسب إطلاق الصواريخ في اتجاه الشرق (يعمل دوران الأرض من الغرب إلى الشرق على إعطاء الصاروخ دفعة إضافية تبلغ نحو 1000كيلومتر/ساعة عند خط الأستواء) ووجود المحيط الأطلسي شرقاً من منصة الإقلاع، وتقوم كل من وكالة الفضاء الأوروبية ESA ووكالة الفضاء الفرنسية CNES وشركة أريان سبيس بإطلاق الصواريخ ومعظمها لأغراض تجارية.[1][2][3]",مركز جويانا للفضاء,Non-factoid
33 كم,75,كم تبعد سبيطلة على  مركز ولاية القصرين؟,تبعد سبيطلة 264 كم على العاصمة تونس وتقع على الطريق الوطنية رقم 13 على بعد 33 كم شرق مركز ولاية القصرين. ,معتمدية سبيطلة,Factoid
530 ألف نسمة,291,ماهو تعداد سكان إربد ؟,"  إربد مدينة أردنية، ومركز محافظة إربد في شمال الأردن وأكبر مدنها. تقع على بُعد 71 كيلومتراً شمال العاصمة عمّان، كما تبعد حوالي 20 كم إلى الجنوب من الحدود السورية الأردنية. وتعد ثالث أكبر مدن المملكة بعد العاصمة الأردنية والزرقاء بالنسبة لعدد السكان، حيث يبلغ عدد سكان المدينة وضواحيها أكثر 530 ألف نسمة حسب تعداد السكان لسنة 2017 , وتقدر مساحة المدينة مع ضواحيها بحوالي 30 كيلو متر مربع.  تقع المدينة في موقع متوسط بالنسبة لباقي مناطق المحافظة؛ إذ تقع على دائرة عرض 32 شمالاً وخط طول 35 شرقًا. تتميز الطبيعة الجغرافية للمدينة بالطبيعة السهلية، وإن كانت المناطق الغربية منها ذات طبيعة أقرب للطبيعة الجبلية [1].",إربد,Factoid
عصر ما قبل التاريخ,173,متى اكتشف الإنسان الزراعة؟,"  تطورت الزراعة التي تتضمن استئناس النباتات والحيوانات منذ 10.000 سنة على أقل تقدير، رغم أن بعض أشكال الزراعة مثل بستنة الحدائق والزراعة بإضرام النار تمتد إلى ما قبل ذلك في عصر ما قبل التاريخ.[1][2] ومرّت الزراعة بتطورات بالغة منذ عهد الحراثة القديمة. وكانت مناطق الهلال الخصيب في غرب آسيا و مصر و الهند من أولى المواقع التي كانت تبذر فيها الحبوب وتحصد المحاصيل بتخطيط لم يشهده العالم من قبل ، حيث كانت النباتات والجذور تجمع من البرية. كما شهد شمال وجنوب الصين وساحل إفريقيا وغينيا الجديدة وعدة مناطق من الأمريكتين تطويرًا مستقلاً لعملية الزراعة.[3]",تاريخ الزراعة,Factoid
إيمل بورل,65,من أسس علم نظرية الألعاب؟,"إن القالب العام لنظرية الألعاب وضعه وصممه عالم الرياضيات الفرنسي إيمل بورل، الذي كتب أكثر من مقالة عن ألعاب الصدفة، ووضع منهجيات لآلية الألعاب، هذا ويعد المصمم الرئيسي لنظرية الألعاب هو عالم الرياضيات الهنغاري-الأمريكي جون فون نيومان، الذي أسس عبر سلسلة من المقالات أمتدت على مدى عشر سنوات (1920-1930)، الإطار الرياضي لأي تطوير على النظريات الفرعية.",نظرية الألعاب,Factoid
1975,7,متى أسس ارماني علامته التجارية الخاصة ” جورجو ارماني ”؟,"في عام 1975 ، أسس ارماني مع صديقه جاليوتي علامته التجارية الخاصة باسم ” جورجو ارماني ” ، وفي شهر أكتوبر من نفس العام قدم مجموعته الأولى الخاصة بتصميمات للأزياء الرجالية لربيع وصيف عام 1976 تحت اسمه الخاص ، كما أنه قام بإنتاج أول خط لتصميم الأزياء النسائية في نفس الموسم .",جورجو أرماني,Factoid
"نظم بمدة أطول من مدة النظم اليومي، وهذا يعني تكرارًا أقل من دورة واحدة في 28 ساعة",25,ما هو النَظْم تَحْتَ اليومي؟,"النَظْم تَحْتَ اليومي هو نظم بمدة أطول من مدة النظم اليومي، وهذا يعني تكرارًا أقل من دورة واحدة في 28 ساعة،[1] مثل الطمث أو الحضانة أو المد والجزر أو النُظُم الموسمية. وعلى العكس من ذلك، يشير النظم فوق اليومي إلى النُظُم ذات الفترات الأقصر من فترات النظم اليومية.",نظم تحت يومي,Non-factoid
111.84,228,كم تبلغ مساحة مدينة ليفربول؟,"  ليفربول  هي مدينة تقع في مقاطعة مرزيسايد شمال غرب إنجلترا . وهي ميناء على الساحل الغربي، ومن أهم المدن الصناعية والتجارية، وتعد منفذاً لتجارة وسط غرب إنجلترا. يبلغ عدد سكانها حوالي 484,578 نسمة (إحصاء 2006).[1] ومساحتها حوالى 111.84. يعني اسمها ""تجمع المياه الموحلة"".",ليفربول,Factoid
"صحابي جليل، وابن عم النبي محمد، حبر الأمة و<b data-parsoid='{""dsr"":[1691,1703",40,من هو عبد الله بن عباس؟,"عبد الله بن عباس بن عبد المطلب بن هاشم، صحابي جليل، وابن عم النبي محمد، حبر الأمة و<b data-parsoid='{""dsr"":[1691,1703,3,3]}'>فقيهها و<b data-parsoid='{""dsr"":[1705,1723,3,3]}'>إمام التفسير و<b data-parsoid='{""dsr"":[1725,1744,3,3]}'>ترجمان القرآن، ولد ببني هاشم قبل الهجرة بثلاث سنين، وكان النبي محمد دائم الدعاء لابن عباس} فدعا أن يملأ الله جوفه عِلماً وأن يجعله صالحاً. وكان يدنيه منه وهو طفل ويربّت على كتفه وهو يقول: ""اللهم فقهه في الدين وعلمه التأويل"". يعد ابن عباس من فقهاء الصحابة وساهم بشكل كبير في تأسيس مدرسة الفقه بمكة.",عبد الله بن عباس,Non-factoid
البيزو الفلبيني,400,ما هي العملة الرسمية في الفلبين ؟,"  يحتل الاقتصاد الفلبيني المرتبة 48 عالمياً، حيث يقدر الناتج المحلي الإجمالي (الاسمي) لعام 2009 بـ 161 مليار دولار.[90] تشمل الصادرات الأولية أنصاف النواقل والمنتجات الالكترونية ومعدات النقل الملابس والنحاس والنفط، زيت جوز الهند، الفواكه.[35] الشركاء التجاريين الرئيسيين للفلبين هم الصين واليابان والولايات المتحدة وسنغافورة وهونغ كونغ والسعودية وكوريا الجنوبية وتايلاند وماليزيا.[35] عملة البلاد هي البيزو الفلبيني (₱).",الفلبين,Factoid
إحدى وسائل تحديد النسل,20,ما هو الإسفنج المهبلي؟, الإسفنج المهبلي هي إحدى وسائل تحديد النسل وتعمل الإسفنجة بطريقتين حيث يتم إدخالها داخل المهبل وبذلك تكون حاجز يمنع دخول الحيوانات المنوية كما تقوم بقتلها ومنعها من التحرك في نفس الوقت وذلك عبر مبيد النطاف الموجود داخلها. الإسفنج المهبلي لايوفر حماية من الأمراض المنقولة جنسيًا.,إسفنج مهبلي,Non-factoid
1889,66,متى تم صناعة اول اطار مطاطي ؟,تعود براءة اختراع الأطر المطاطية لـ جون بويد دنلوب والذي أنشأ سنة 1889 مصنعا لها.,إطار مطاطي,Factoid
18,17,كم عدد المحافظات في العراق؟,ينقسم العراق إلى 18 محافظة (أو 19 في حال اعتماد حلبجة محافظة) وهذه المحافظات بدورها تنقسم إلى أقضية وإلى تقسيمات أُخرى أقل شأناً تُسمى نواحي. يبلغ عدد أقضية العراق 120 قضائاً. تُعتبر محافظة بغداد التي تَضُم مدينة بغداد أكثر محافظات العراق ازدحامًا بالسُكان حيث تًضُم 7.600.000 نسمة بينما تعدّ محافظة المثنى الأقل إزدحاماً بالسُكان حيث لايزيد عدد الأهالي فيها عن 775.000 نسمة. أما مُحافظة الأنبار فهي أكبر مُحافظات العِراق مساحة حيث تبلغ مساحتها 138.500 كلم مربع أما أصغر المحافظات مساحة فهي مٌحافظة بغداد التي تبلغ مساحتها 4.555  كلم مربع.,محافظات العراق,Factoid
533م,188,متى احتل الاكسوم اليمن؟," غزى الأحباش اليمن (525م - 599م) حرض نجاشي الحبشة على غزو اليمن في القرن السادس الميلادي ، بهدف إعادة السيطرة على الطرق التجارية، والقضاء على منافسيه الفرس فأقدم الأحباش على غزو اليمن سنة 533م، وسيطروا عليها، وتولى القائد أرياط الحكم بعد أن قضى على الملك ذو نواس الحميري، وقامت العديد من المحاولات للتخلص من حكم الأحباش إلا أنها لم تنجح إلى أن تمكن سيف بن ذي يزن بمساعدة الفرس من القضاء على حكم الأحباش.[1]",غزو الأحباش لليمن,Factoid
أغسطس 1922),39,متى توفي ألكسندرغراهام بيل؟,"    ألكسندر غراهام بيل (3 مارس 1847- 2 أغسطس 1922)، عالم مشهور ومهندس ومخترع ومبتكر سكوتلاندي المولد،[معلومة 1] ينسب إليه تسجيل أول براءة هاتف فعال[1] وإنشاء شركة التيليفون والتلغراف الأمريكية.",ألكسندر غراهام بيل,Factoid
النظير الاصطناعي للبروستاغلاندين في بروستاغلاندين F2α,115,ما هو الكربوبروست؟," كربوبروست (اسم دولي غير مسجل الملكية، والاسم التجاري لأملاح تروميثامين هيمابات، ثام) (بالأنجليزية: Carboprost) هو النظير الاصطناعي للبروستاغلاندين في بروستاغلاندين F2α (على وجه التحديد، هو 15-ميثيل-بروستاغلاندين F2α) مع خصائص أوكسيتوسينية.",كربوبروست,Non-factoid
20 ديسمبر 1968,95,متى قام زودياك السفاح بالقيام بجريمة بحيرة هيرمان ؟,"أول جريمة قتل نسبت للزودياك كانت حادثة إطلاق النار على الطالبين بيتي لو جنسن و ديفيد فارادي في 20 ديسمبر 1968، في الطريق المؤدية لبحيرة هيرمان داخل حدود بنيسيا",زودياك السفاح,Factoid
لبنان,79,أين عاش المغني ملحم بركات؟," ملحم بركات (5 أبريل 1942[1] - 28 اكتوبر 2016)، أيضاً يلقب أبو مجد، مغني وملحن لبناني. يعتبر من أشهر المطربين والملحنين اللبنانين والعرب، تأثر بفن الموسيقار الكبير محمد عبد الوهاب[2] ولد في قرية كفر شيما. ينتمي إلى طائفة الروم الأرثوذكس. ظهرت موهبته منذ كان في المدرسة وفي أحد الاحتفالات المدرسية، قام بتلحين بعض الكلمات من الجريدة اليومية وقام بغنائها، والتحق بعد ذلك بأحد البرامج المشهورة للأصوات الجديدة، وقام باختباره رواد الفن اللبناني الكبار، وقالوا عنه أنه موهبة لا مثيل لها لما يمتلكه من طبقات صوت عالية ذات مواصفات جيدة، والتحق بعد ذلك بالمدرسة الرحبانية، وكانت من هناك انطلاقته الكبيرة[3].",ملحم بركات,Factoid
الرئيس العام السابق لهيئة الامر بالمعروف والنهي عن المنكر ولد في مدينة الرياض. تم اعفاءه من الرئاسة العامة لهيئة الأمر بالمعروف والنهي عن المنكر يوم الخميس الموافق 29 يناير 2015. وأصبح وزيرا للشؤون الإسلامية والدعوة والإرشاد يوم 2 يونيو 2018,53,من هو عبد اللطيف بن عبد العزيز آل الشيخ؟,الدكتور عبداللطيف بن عبدالعزيز بن عبدالرحمن آل الشيخ الرئيس العام السابق لهيئة الامر بالمعروف والنهي عن المنكر ولد في مدينة الرياض. تم اعفاءه من الرئاسة العامة لهيئة الأمر بالمعروف والنهي عن المنكر يوم الخميس الموافق 29 يناير 2015. وأصبح وزيرا للشؤون الإسلامية والدعوة والإرشاد يوم 2 يونيو 2018.[1],عبد اللطيف بن عبد العزيز آل الشيخ,Non-factoid
حركة موسيقية غنائية,31,ما هو الراي المغربي ؟,"الراي ""من الرأي، أي ابداؤه"" هو حركة موسيقية غنائية، بدأت في المنطقة الواقعة بين الغرب الجزائري و الشرق المغربي، تاريخ هذا الطبع الغنائي قديم حدد بعض الباحثين تاريخ نشأته إلى زمن التدخل الأسباني في الجزائر في القرن 18 و مكان نشأته في مدن غرب الجزائر، كمدينة وهران و سيدي بلعباس ثم عين تموشنت و غليزان ومدن شرق المغرب كمدينة وجدة و بركان و جرسيف و السعيدية.[1] الراي اليوم ليس كالراي أول نشأته كان من يغنيه يعرفون بالشيوخ و الشيخات ثم في أواسط السبعينيات ظهر لقب آخر و هو الشاب والشابة كإشارة للتجديد الكبير الذي ظهر على هذا الطبع الموسيقي،[2]فن الراي هو نوع من ""أنواع موسيقى"" الراب التي تعبر عن مجريات الشارع وقضايا المجتمع.",راي (موسيقى),Factoid
1002 م,48,متى توفي أبو عامر محمد بن أبي عامر؟,"أبو عامر محمد بن أبي عامر (327 - 392 هـ / 938 - 1002 م)، المشهور بلقب الحاجب المنصور حاجب الخلافة والحاكم الفعلي للخلافة الأموية في الأندلس في عهد الخليفة هشام المؤيد بالله. بدأ محمد بن أبي عامر حياته السياسية وتدرَّج في المناصب منذ عهد الخليفة الحكم المستنصر بالله، وكان على علاقة وطيدة بزوجة الخليفة صبح البشكنجية أم الخليفة هشام المؤيد بالله، والتي كانت وصية على عرش ولدها بعد وفاة زوجها الحكم. عاونت صبح الحاجب المنصور على إقصاء جميع منافسيه، وهو وما أحسن استغلاله لأبعد مدى، بل وذهب إلى أبعد من ذلك بأن حجر على الخليفة الصبي، وقيّد سلطته هو وأمه. وبتمكُّن الحاجب المنصور من مقاليد الحكم التفت إلى توسع الدولة شمالاً، فحرّك بحملاته العسكرية حدود الممالك المسيحية في الشمال إلى ما وراء نهر دويرة،[1] فبلغت الدولة الأموية في الأندلس أوج قوتها في عهده.",المنصور بن أبي عامر,Factoid
633 هـ,186,متى ولد شهاب الدين العزازي؟,"شهاب الدين العزازي، هو أبو العباس شهاب الدين أحمد بن عبد الملك بن عبد المنعم بن عبد العزيز بن جامع بن راضي بن جامع العزازي.[1] من شعراء العصر المملوكي، يجيد نظم الشعر والموشحات. ولد عام 633 هـ، في بلدة أعزاز ، وتوفي في محرم، (710هـ -1310م) بالقاهرة.[2]",شهاب الدين العزازي,Factoid
28 أكتوبر من عام 2003,232,في أي عام تأسس الفيسبوك؟," انطلق موقع فيسبوك كنتاج غير متوقع من موقع ""فيس ماتش""  التابع لجامعة هارفارد، وهو موقع من نوع Hot or Not يعتمد على نشر صور لمجموعة من الأشخاص ثم اختيار رواد الموقع للشخص الأكثر جاذبية.[8] وقد قام مارك زوكربيرغ بابتكار الفيس ماتش في 28 أكتوبر من عام 2003، عندما كان يرتاد جامعة هارفارد كطالب في السنة الثانية. ففي هذه الأثناء،.[9]",فيسبوك,Factoid
"وسطاً استنادياً للنباتات تنمو فيها الجذور ، وعن طريقها تمتص النباتات الماء والأملاح المنحلة التي تحتاجها",223,ما هى أهمية التربة ؟,"تلعب التربة دوراً هاماً في نمو النباتات وحياتها ، وتعد الأساس الذي تقوم عليه عمليات الإنتاج الزراعي والحياة الحيوانية ، كما تحوي التربة على كثير من الكائنات الحية الدقيقة ، والديدان ، والحشرات . وتكمن أهمية التربة في كونها وسطاً استنادياً للنباتات تنمو فيها الجذور ، وعن طريقها تمتص النباتات الماء والأملاح المنحلة التي تحتاجها . ويتوافر في التربة الشروط البيئية المختلفة من الجفاف والرطوبة والتهوية والحرارة والملوحة وغيرها . وتعد كذلك أحد المكونات الرئيسية لدورات العناصر الأساسية الطبيعية وذلك لأن مكونات التربة تعتمد على مكونات الهواء والماء وتركيب الهواء يعتمد على التربة والماء وهكذا [1] كما تعد التربة من أعقد الأنظمة الطبيعية ، لأنها تؤلف نظاماً خاصاً متعدد الأطوار وغير متجانس فهي تتكون من طور صلب ، وطور سائل ، وطور غازي .",تلوث التربة,Non-factoid
حاكم طائفة سرقسطة في عصر ملوك الطوائف بين عامي 427 هـ -430 هـ,48,من هو معز الدولة التجيبي؟,"معز الدولة المنذر بن يحيى بن المنذر التُجيَّبي  حاكم طائفة سرقسطة في عصر ملوك الطوائف بين عامي 427 هـ -430 هـ،[1] وابن شقيقة إسماعيل بن ذي النون حاكم طائفة طليطلة.[2] اغتيل المنذر في المحرم 430 هـ على يد ابن عم له يدعى عبد الله بن الحكم الذي خلفه لمدة 28 يوم قبل أن يخلعه سليمان بن هود حاكم لاردة.[1]",معز الدولة التجيبي,Non-factoid
شمال الأردن,42,أين تقع اربد؟,"  إربد مدينة أردنية، ومركز محافظة إربد في شمال الأردن وأكبر مدنها. تقع على بُعد 71 كيلومتراً شمال العاصمة عمّان، كما تبعد حوالي 20 كم إلى الجنوب من الحدود السورية الأردنية. وتعد ثالث أكبر مدن المملكة بعد العاصمة الأردنية والزرقاء بالنسبة لعدد السكان، حيث يبلغ عدد سكان المدينة وضواحيها أكثر 530 ألف نسمة حسب تعداد السكان لسنة 2017 , وتقدر مساحة المدينة مع ضواحيها بحوالي 30 كيلو متر مربع.  تقع المدينة في موقع متوسط بالنسبة لباقي مناطق المحافظة؛ إذ تقع على دائرة عرض 32 شمالاً وخط طول 35 شرقًا. تتميز الطبيعة الجغرافية للمدينة بالطبيعة السهلية، وإن كانت المناطق الغربية منها ذات طبيعة أقرب للطبيعة الجبلية [1].",إربد,Factoid
رجل القنطور,96,ما هو أقرب نظام نجمي إلى الشّمس؟,"يلاحظ أن أقرب النجوم لنا بروكسيما القنطور proxima centauri ويبعد 22و4 سنة ضوئية ، وهو بالقرب من رجل القنطور alpha centauri ويبعد 33و4 سنة ضوئية عنا .",قائمة أقرب النجوم إلينا,Factoid
أغسطس وسبتمبر 1944,130,متى عقد مؤتمر دومبارتون أوكس؟,"  اجتمع ممثلو حكومات (الصين, الاتحاد السوفيتي, المملكة المتحدة، الولايات المتحدة الأمريكية) في دومبارتون أوكس بالقرب من واشنطن في أغسطس وسبتمبر 1944 لمحاولة وضع الأسس والمبادئ التي تقوم عليها الهيئة الدولية الجديدة أي (الأمم المتحدة), ولقد تم الاجتماع على مرحلتين:",مؤتمر دومبارتون أوكس,Factoid
"جنوب غرب أوروبا، بين فرنسا وإسبانيا",53,أين تقع جبال البرانس؟,"جبال البرانس، البيريني أو البرينيو   سلسلة جبلية تقع جنوب غرب أوروبا، بين فرنسا وإسبانيا وتمثل الحدود الطبيعية بينهما. تمتد لمسافة قدرها 430 كلم من خليج بسكاي بالمحيط الأطلسي في الغرب إلى البحر المتوسط في الشرق. أعلى نقطة بها تسمى ""بيكو دي أنيتو"" وتعلو بارتفاع 3406.2 م. تفصل الجبال شبه جزيرة أيبيريا عن فرنسا. تقع إمارة أندورا بين قمم السلسلة. كما تقع ستة أقسام فرنسية وست مقاطعات إسبانية في السلسلة. توجد بعض الممرات التي تتخلل الجبال، ونشأ الممر الموجود في رونسافالز في القرن 12. مساحتها 55374 . من أشهر المدن الواقعة في السلسلة: بربينيان وبايون وأورتيز بفرنسا، وجيرونا وواسكا وبامبلونا وإيرون بإسبانيا.",البرانس,Factoid
(23 أغسطس 1754 - 21 يناير 1793,25,متى عاش الملك لويس السادس عشر؟,"   الملك لويس السادس عشر (23 أغسطس 1754 - 21 يناير 1793)  ملك فرنسا ونافارا، آخر ملوك فرنسا قبل الثورة الفرنسية، في عهده قامت الثورة الفرنسية وأدت إلى إطاحة الحكم المطلق. تزوج من ماري انطوانيت وهو في عمر الخامسة عشر، والأخيرة تصغره بقرابه العام. وأنجب منها لويس السابع عشر الذي مات صغيرا.",لويس السادس عشر ملك فرنسا,Factoid
فرانسوا ماري آروويه,1,ما هو الاسم الحقيقي لفولتير؟," فرانسوا ماري آروويه  ويُعرف باسم شهرته فولتير .  (21 نوفمبر 1694 – 30 مايو 1778) هو كاتب وفيلسوف فرنسي عـاش خلال عصر التنوير. عُرف بنقده الساخر، وذاع صيته بسبب سخريته الفلسفية الطريفة ودفاعه عن الحريات المدنية خاصة حرية العقيدة والمساواة وكرامة الإنسان.",فولتير,Factoid
1990,177,متى تمت اتفاقية ترسيم الحدود بين اليمن و سلطنة عمان؟,"لما تمّت الوحدة اليمنية، وتلتها حرب الخليج الثانية واتضح حجم النفط المخزون في اليمن ، ثارت المشكلة الحدودية من جديد إثر الاتفاق على ترسيم الحدود نهائياً بين اليمن وسلطنة عمان في1990 ، فقامت المباحثات بين الطرفين في صورة لجنة للخبراء الثنائية بدأت في سبتمبر 1992، بعد أن جرت مشاورات ثنائية في جنيف في يوليو 1992 وعقدت سبعة لقاءات بالتناوب بين الرياض وصنعاء .",معاهدة جدة (2000),Factoid
50,55,كم يبلغ عدد الولايات الأمريكية؟,"الولايات المتحدة الأمريكية هي جمهورية اتحادية تتكون من 50 ولاية بالإضافة إلى مقاطعة فيدرالية واحدة (واشنطن العاصمة).[1] تعتبر الولاية هي التقسيم الرئيسي للدولة وتمتلك عددا من الصلاحيات والحقوق المنصوص عليها في دستور الولايات المتحدة، مثل تنظيم التجارة والتعاون بين الولايات، إدارة الانتخابات، إنشاء الحكومات المحلية، والتصديق على التعديلات الدستورية. بموجب التعديل العاشر للدستور، يمكن للولايات ممارسة جميع الصلاحيات الغير مفوضة إلى الحكومة الاتحادية.[2] كل ولاية تمتلك إدارة خاصة بها والتي تتألف من سلطة تنفيذية وسلطة تشريعية وسلطة قضائية.[3] كل ولاية يمثلها عدد من النواب في الكونغرس - وهو هيئة تشريعية تتكون من مجلسين: مجلس الشيوخ ومجلس النواب. يتم تمثيل كل ولاية من قبل اثنين من الأعضاء في مجلس الشيوخ، في حين ان مجلس النواب يكونه عدد من الأعضاء لكل ولاية وفقا إلى إجمالي سكانها.[4] المقاطعات الفدرالية ليس لها ممثلين في مجلس الشيوخ،في حين لديها مندوب في مجلس النواب لكن لا تمتلك حق التصويت، كل ولاية لها عدد من الناخبين في المجمع الإنتخابي وهي الهيئة التي تنتخب رئيس الولايات المتحدة.[5] وفقا للدستور الأمريكي يحق للكونغرس قبول ضم المزيد من الولايات إلى الاتحاد، ولكن لا يمكنه إنشاء ولاية جديدة من أراضي ولاية قائمة أو دمج اثنين أو أكثر من الولايات لتصبح واحدة من دون موافقة جميع الولايات المعنية.[6]",قائمة الولايات والمناطق الأمريكية,Factoid
منطقة بانياس في محافظة طرطوس في سوريا,84,أين تقع قلعة المرقب؟,قلعة المرقب حصن منيع يقع على بعد 5 كم شرق مدينة بانياس علي الساحل السوري وهي تابعة لمنطقة بانياس في محافظة طرطوس في سوريا. بنيت في عام 1062 م فوق قمّة تلّة على ارتفاع 370 م فوق سطح البحر. تشرف من الشرق على جبال اللاذقية ومن الغرب على مدينة بانياس والبحر الأبيض المتوسط وتحيط بها الجبال والغابات الرائعة ويحيط بها خندق ضخم مخلهل يمر عبر درج قائم فوق جسر إلى المدخل الرئيسي للقلعة. ذكرت القلعة في مراجع كثيرة ووصفها أبوالمحاسن في كتابة النجوم الزاهرة بأنها قلعة حصينة ومنيعة وكبيرة جداً.,قلعة المرقب (سوريا),Non-factoid
"37,5 مليون",72,ماهو تعداد سكان العراق ؟,"سكان العراق هم السكان المقيمين داخل جمهورية العراق ويبلغ عددهم ما يقارب 37,5 مليون نسمة تقريبا، 59% منهم تتراوح اعمارهم من 16-64 وحوالي 38% منهم تحت عمر 15 سنة و3% ممن تجاوزوا 64 عاما، ويسكن معظمهم في وسط البلاد. أكبر مدن العراق حسب تقديرات عام 2002م و2005م هي بغداد (4 إلى 6 ملايين) ثم الموصل ثم البصرة ثم أربيل[1][2][3] أما من ناحية عدد سكان المحافظات وحسب مصدر يدعي استناده على إحصاء وزارة التجارة والتخطيط العراقية وحكومة إقليم كردستان العراق لعام 2003, فمحافظة بغداد تضم أكبر عدد من السكان تليها  محافظة نينوى بعدها محافظة البصرة ثم محافظة ذي قار ثم  محافظة بابل ثم محافظة السليمانية ثم محافظة أربيل  .[4]",سكان العراق,Factoid
1915,165,متى منحت أول قلادة سبينغارن؟,"أُنشأ الجائزة جويل إلياس سبينغارن ـ رئيس مجلس الرابطة الوطنية لتقدم الشعوب الملونة ـ سنة 1914، وتتكون من قلادة ذهبية، مُنحت للمرة الأولى لعالم الأحياء إرنست جست سنة 1915.[1]",قلادة سبينغارن,Factoid
الأحد 27 فبراير عام 2011 م,49,متى تأسس المؤتمر الوطني الإنتقالي الليبي ؟,  المجلس الوطني الانتقالي المؤقت الليبي تشكل يوم الأحد 27 فبراير عام 2011 م[1] أثناء اندلاع ثورة 17 فبراير الليبية التي انطلقت عام 2011 في عدة مناطق من ليبيا مطالبة برحيل معمر القذافي عن السلطة والذي كان يحكم البلاد منذ نحو 42 عامًا.[2],المجلس الوطني الانتقالي,Factoid
18.011 كم²,112,كم تبلغ مساحة أردبيل؟,"تقع أردبيل على بعد حوالي 70 كم من بحر قزوين، 210 كم عن مدينة تبريز. وعلى متوسط إرتفاع 1263 متر وتصل مساحتها إلى 18.011 كم².",أردبيل,Factoid
1.0132 بار,311,ما هي قيمة الضغط الجوي عند مستوى سطح البحر؟,"الضغط الجوي هو وزن عمود من الهواء على مقطعه العرضي هو وحدة المساحات، وارتفاعه يعادل سُمك الغلاف الجوي. الضغط الجوي = 1 atm أو بالتقريب 1 بار. وهو يتكوّن من عدة غازات (النيتروجين 78% و الأكسجين 21%، بالإضافة إلى غازات أُخرى). يتناقص الضغط الجوي مع الإرتفاع عن مستوى سطح البحر، ويبلغ عند مستوى سطح البحر 1 atm أو 1.0132 بار.",ضغط جوي,Factoid
